;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Cuba;28645436569.1489;30429803651.2192;30565400000;42643836100;62080000000;64328000000;68990000000;73141000000;77148000000;80656000000;87133000000;91370000000;96851000000;100023000000;100023000000
Cyprus;5591130217.66965;9933133247.08926;9985844486.33365;18433411267.2553;25945391775.4932;25732432719.0773;27565469097.9955;24978513426.6992;23900872625.8467;23156850006.6427;19842404304.8929;20953442550.3653;22729184365.1152;25309818138.8758;24948935408.0376
Czechia;40728950704.6176;60147174076.8651;61828166496.0941;137143471328.274;207434296805.33;209069940963.177;229562733398.948;208857719320.649;211685616592.931;209358834156.329;188033050459.881;196272068576.338;218628940951.675;248908731817.502;250680504529.647
Denmark;138247285815.855;185006881515.065;164158739097.623;264467336457.169;321241303699.006;321995279401.502;344003137611.271;327148943812.137;343584391647.927;352993631617.708;302673070846.857;313115929314.339;332121063806.391;356879499797.896;350104327658.675
Dominican Republic;7073675544.80847;16598679275.3976;24305116729.1701;35777570134.0385;48261033297.3001;53860175556.5208;58029750744.3809;60681537194.7076;62682163837.6521;67179914026.2773;71164825257.7372;75704720189.6204;79997975622.7604;85555378043.7999;88941299734.2073
Ecuador;15239278100.3502;24432884442.2211;18327764882.4412;41507085000;62519686000;69555367000;79276664000;87924544000;95129659000;101726331000;99290381000;99937696000;104295862000;107562008000;107435665000
Egypt;42978914311.3504;60159245060.4541;99838543960.0763;89600665557.4043;189147005444.646;218983666061.706;235989672977.625;279116666666.667;288434108527.132;305595408895.265;329366576819.407;332441717791.411;235733695652.174;249712999437.254;303092255125.285
El Salvador;4817542204.02673;8921947100;11784927700;14698001400;17601620000;18447920000;20283790000;21386140000;21990970000;22593480000;23438240000;24191440000;24979200000;26117400000;27022640000
Equatorial Guinea;112119406.548331;141853368.256815;1045998496.43872;8217369092.65224;15027795173.2187;16314442183.3477;21357344847.4966;22388345810.2466;21948835350.3425;21765454404.421;13185496836.4124;11240809132.4145;12200914929.5961;13278488567.3058;11026774945.3415
Estonia;0;4497823760.81825;5694069842.43988;14098326078.8459;19744110864.1289;19693608289.0773;23391530006.3166;23192708981.8446;25271406707.566;26773473625.1921;23048864242.6072;24259552888.9717;26951648828.5789;30631142226.8533;31471100656.2431
