;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Côte d'Ivoire;10795850106.9547;11000146839.497;10717022462.6859;17091723906.153;24375209177.9302;24908781285.4756;25414875503.0784;26789047554.5988;31273074527.6975;35363533865.7271;45814637971.4745;47964234560.0514;51588158717.5348;58011466450.8643;58539424929.7248;61348579465.1017
Croatia;0;22534323220.0266;21633671680.8738;45376744001.8044;62600093958.9538;59918313669.1671;62537851352.4904;56580819623.8529;58194069434.1423;57639588805.5871;49525747503.8149;51601147665.8089;55481644098.0495;61375222347.0256;60752588976.3175;55966581780.1688
Cuba;28645436569.1489;30429803651.2192;30565400000;42643836100;62080000000;64328000000;68990000000;73141000000;77148000000;80656000000;87133000000;91370000000;96851000000;100050000000;103131000000;103131000000
Cyprus;5591130217.66965;9933133247.08926;9985844486.33365;18433411267.2553;25945391775.4932;25732432719.0773;27565469097.9955;24978513426.6992;23900872625.8467;23156850006.6427;19842404304.8929;20953442550.3653;22729184365.1152;25309818138.8758;24949065263.6292;23804340376.9275
Czechia;40728950704.6176;60147174076.8651;61828166496.0941;137143471328.274;207434296805.33;209069940963.177;229562733398.948;208857719320.649;211685616592.931;209358834156.329;188033050459.881;196272068576.338;218628940951.675;248950103352.137;252498032247.163;245349489988.26
Denmark;138247285815.855;185006881515.065;164158739097.623;264467336457.169;321241303699.006;321995279401.502;344003137611.271;327148943812.137;343584391647.927;352993631617.708;302673070846.857;313115929314.339;332121063806.391;356841216410.068;347561349210.979;356084867685.639
Dominican Republic;7073675544.80847;16598679275.3976;24305116729.1701;35777570134.0385;48261033297.3001;53860175556.5208;58029750744.3809;60681537194.7076;62682163837.6521;67179914026.2773;71164825256.6849;75704720189.5607;79997975621.8654;85555378042.8197;88941299733.5018;78844702329.0785
Ecuador;15239278100.3502;24432884442.2211;18327764882.4412;41507085000;62519686000;69555367000;79276664000;87924544000;95129659000;101726331000;99290381000;99937696000;104295862000;107562008000;108108009000;98808010000
Egypt;42978914311.3504;60159245060.4541;99838543960.0763;89600665557.4043;189147005444.646;218983666061.706;235989672977.625;279116666666.667;288434108527.132;305595408895.265;329366576819.407;332441717791.411;235733695652.174;249712999437.254;303080865603.645;363069245165.315
El Salvador;4817542204.02673;8921947100;11784927700;14698001400;17601620000;18447920000;20283790000;21386140000;21990970000;22593480000;23438240000;24191430000;24979200000;26020850000;26896660000;24638720000
Equatorial Guinea;112119406.548331;141853368.256815;1045998496.43872;8217369092.65224;15027795173.2187;16314442183.3477;21357344847.4966;22388345810.2466;21948835350.3425;21765454404.421;13185496881.4055;11240808846.6928;12200913887.6419;13097012189.3995;11417278044.9859;10021856754.4944
Estonia;0;4497823760.81825;5694069842.43988;14098326078.8459;19744110864.1289;19693608289.0773;23391530006.3166;23192708981.8446;25271406707.566;26773473625.1921;22881558191.8523;24056487770.898;26857880621.935;30474612057.4484;31045591753.4901;30650285471.7215
Ethiopia;12175166763.285;7663984567.90123;8242392103.68061;12401139453.9738;32437389116.038;29933790334.3418;31952763089.33;43310721414.0829;47648211133.2183;55612228233.5179;64589334978.8013;74296618481.0882;81770791970.982;84269348327.3454;95912590628.1412;107645054311.876
European Union;;;;11905795335412.1;14710262893228;14544075622068.1;15744157300202.9;14636296706794.8;15296013552373.2;15634241267477.3;13547247755711.5;13885155820999.3;14734764528614.8;15971540026258.9;15689357247344.5;15291934754441.6
Finland;141438345513.917;134189814814.815;125706651925.557;204809103345.355;252496526813.004;249181190476.369;275243697751.011;258304834621.605;271285280621.373;274497230802.958;234440080998.273;240607907010.383;255016517537.983;275580448365.235;268782471380.392;269751312854.475
France;1269179616913.63;1601094756209.75;1362248940482.77;2196126103718.44;2690222283967.77;2642609548930.36;2861408170264.61;2683825225092.63;2811077725703.59;2852165760630.27;2438207896251.84;2471285607081.72;2588740901639.81;2789593979064.58;2728870246705.88;2630317731455.26
Gabon;5952293765.84468;4958845906.34769;5067865320.7979;9582783318.3881;12113699660.6799;14372591916.4792;18210308748.2912;17170465294.0332;17595745653.3676;18203968001.8908;14383107714.0388;14023890620.3384;14929488770.7315;16862282413.8778;16874450215.1351;15593181270.9135
