id_master_country;cod_unstats_num;cod_unstats_alpha;cod_eurostat;full_name_en_order;full_name_es_order;full_name_en;full_name_es;short_name_en_order;short_name_es_order;short_name_en;short_name_es;date_in;date_out;country;geom
un528;528;NLD;NL;Netherlands;Países Bajos;Netherlands;Países Bajos;Netherlands;Países Bajos;Netherlands;Países Bajos;;;t;
un531;531;CUW;;Curaçao;Curazao;Curaçao;Curazao;Curaçao;Curazao;Curaçao;Curazao;;;t;
un533;533;ABW;;Aruba;Aruba;Aruba;Aruba;Aruba;Aruba;Aruba;Aruba;;;t;
un534;534;SXM;;Sint Maarten (Dutch part);San Martín (parte neerlandesa);Sint Maarten (Dutch part);San Martín (parte neerlandesa);Sint Maarten (Dutch part);San Martín (parte neerlandesa);Sint Maarten (Dutch part);San Martín (parte neerlandesa);;;t;
un535;535;BES;;Bonaire, Saint Eustatius and Saba;Bonaire, San Eustaquio y Saba;Bonaire, Saint Eustatius and Saba;Bonaire, San Eustaquio y Saba;Bonaire, Saint Eustatius and Saba;Bonaire, San Eustaquio y Saba;Bonaire, Saint Eustatius and Saba;Bonaire, San Eustaquio y Saba;;;t;
un540;540;NCL;;New Caledonia;Nueva Caledonia;New Caledonia;Nueva Caledonia;New Caledonia;Nueva Caledonia;New Caledonia;Nueva Caledonia;;;t;
un548;548;VUT;;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;;;t;
un554;554;NZL;;New Zealand;Nueva Zelanda;New Zealand;Nueva Zelanda;New Zealand;Nueva Zelanda;New Zealand;Nueva Zelanda;;;t;
un558;558;NIC;;Nicaragua;Nicaragua;Nicaragua;Nicaragua;Nicaragua;Nicaragua;Nicaragua;Nicaragua;;;t;
un562;562;NER;;Niger;Níger;Niger;Níger;Niger;Níger;Niger;Níger;;;t;
un566;566;NGA;;Nigeria;Nigeria;Nigeria;Nigeria;Nigeria;Nigeria;Nigeria;Nigeria;;;t;
