id_master_country;date_in;date_out;energy;primary_goods;manufactures;services;investments;troops;military_equipment;migrations;tourism;sports;culture;information;technology;science;education;cooperation;economic_presence;military_presence;soft_presence;iepg
un392;1995-01-01;1995-12-31;13.11178314;56;375.2728802;130.4860104;55.61947965;0.136099685;54;31.82451726;43.57511333;139.2992387;6.200231733;0;468.299483;175.4324276;81.00596293;589.5349806;129.1675441;26.52941084;168.0719859;130.641486
un398;1995-01-01;1995-12-31;6.868118018;11;1.775447113;1.052205107;7e-05;0;0;76.97144258;0;1.019725095;0;0;0.547016993;0.676881423;2.394861493;0;3.263376034;0;7.438531948;4.661807589
un414;1995-01-01;1995-12-31;61.1032962;1;0.950165175;2.718327643;0.654039475;0;0;25.44876203;18.797874;12.23670114;0;0;0.070582838;1.139856595;3.74216031;19.23923074;12.11389197;0;7.357707195;7.987824259
un428;1995-01-01;1995-12-31;0.119937531;3;0.675328552;1.416183505;0.053947741;0;0;12.31300166;7.021520504;33.7118379;0.013976392;0;0.176457094;0.879066783;0.980954644;0.013976392;0.886403085;0;4.349571739;2.337636172
un440;1995-01-01;1995-12-31;1.620291312;5;1.390385737;0.954294964;0.000256578;0;1;6.357793508;8.467510812;29.95254263;0.002353538;0;0.105874257;0.920089899;0.402675826;0;1.439284135;0.49;3.603803944;2.283077786
un442;1995-01-01;1995-12-31;0.313522821;5;3.731561271;25;19;0;0;2.965318168;10.0046897;10.19725095;0;0;1.976319458;0.172883134;0.98700992;2.30417621;12.14274636;0;2.507634592;5.76775553
un458;1995-01-01;1995-12-31;27.12203587;72;48.96510146;22.81731359;1.194988901;4.854222115;9;27.85897208;97.2982127;13.95654622;0;0;0.017645709;1.837249576;22;1;29.59366599;6.885653278;15.20386876;19.34107723
un470;1995-01-01;1995-12-31;0.155793496;0;1.628446935;2.055458093;0.007539043;0;0;0.165696247;14.53806472;11.21697605;0;0;0.105874257;0.131860017;0.093856772;0;0.828447729;0;2.149376478;1.303523317
un484;1995-01-01;1995-12-31;42.8847568;54;54.8872025;19.23375867;0.975293915;0;7;10.69380784;263.6782867;32.82146048;0.347599392;0;0.846994053;9.010434523;1;1;30.39403764;3.43;28.45449202;25.18760063
un566;1995-01-01;1995-12-31;59.94767006;4;0.228163761;1.194943122;0.686494201;21.27691749;2;13.58590107;8.545672451;45.11907138;0;0;0.017645709;2.244550519;8;0;11.80953877;11.83122792;6.381816617;9.316256846
un578;1995-01-01;1995-12-31;103.7746618;44;9.969268081;26.89003572;5.252698783;4.769537866;4;5.529779416;37.51758637;65.06462049;2.18668984;0;6.03483263;12.98967683;16.99261711;42.07060274;33.94370264;4.392464312;17.34625362;21.58067796
un554;1995-01-01;1995-12-31;1.142027188;52;3.734618822;8.815315386;1.790356878;0.341761432;3;13.87952491;19.21473607;62.06635496;2;0;1.60575956;10.62205696;8.905796564;4.153855854;10.20550399;1.644298331;10.59060509;9.012857587
un586;1995-01-01;1995-12-31;0.419451501;7;6.029367992;3.652725113;0.062089604;4.787684491;12;95.21809366;4.924183211;7.3283331;0;0;0.017645709;1.731761562;1.416934486;0;3.047644941;8.32171909;9.905925703;7.046305956
un616;1995-01-01;1995-12-31;9.83041874;26;14.4833041;20.99493368;0.125793689;5.090128236;9;22.50703467;250.3126466;122.4128648;1.086248099;0;0.547016993;22.3956914;7.874885896;1;12.9076773;7.0059654;37.08919055;23.08689949
un620;1995-01-01;1995-12-31;3.971881684;19;16.87874927;16.19825511;0.83370161;3.732155819;2;12.33068309;59.55916836;27.02271502;1.24312405;0;0.599954121;4.984308658;9.29484802;9;10.50304965;2.883399468;11.23963813;9.62273632
un826;1995-01-01;1995-12-31;76.36039658;173;166.8893654;156.9378668;71.11046227;146.2224776;121;97.88123924;282.9321036;130.2510605;57.03092186;0;77.39408163;191.5046986;298.5069204;112.1949049;124.197174;133.8634636;132.0275287;129.3457435
un203;1995-01-01;1995-12-31;5.341703459;16;15.60078819;13.2272409;0.08058086;2.773409146;0;10.59748259;44.04408316;64.04489539;2.859309146;0;1.482239593;10.12098889;4.972895073;0.851338152;9.224880691;1.414438664;11.91887101;9.214445511
un642;1995-01-01;1995-12-31;3.303429705;6;5.516040529;2.938307346;0.028130228;3.366198887;6;3.152923505;70.93168673;123.2423325;0.14483308;0;0.229394223;3.648127148;17.96600266;0;3.160950002;4.656761432;17.93981998;10.19856002
un470;2000-01-01;2000-12-31;0.561985656;0.453110365;2.007129089;2.16040326;0.047367528;0;0;0.208393279;15.84075869;11.59124866;0;0.004857143;0.211748513;0.111348459;0.531350432;0;1.070695891;0;2.361093685;1.492967534
un643;1995-01-01;1995-12-31;177.3616717;66;18.17341837;21.2028552;0.780438902;20.86861844;631;273.4420424;134.0472096;621.9269137;2.639582881;0;3.299747666;79.2273589;110.7691562;3;49.2193554;319.8329954;104.1334031;117.7779997
un702;1995-01-01;1995-12-31;42.56428523;49;88.06032912;53.74958698;0.008175493;0.018146625;3;23.15984612;79.07352405;9.177525857;0;0;1.570468141;5.828212769;15;0;44.0081678;1.479254779;12.54697652;22.73139373
un710;1995-01-01;1995-12-31;13.90720328;67;13.91828768;9.083755527;5.43187251;0;1;25.64134246;58.46490542;30.97226772;7;0;1.023451148;10.73633564;19.11196356;0;17.49850475;0.49;14.5024656;13.39896598
un752;1995-01-01;1995-12-31;7.635411834;52;54.20332792;30.72419246;17.07006694;1.835833535;1;21.15296886;30.09223073;90.99917249;7;0;28.00374089;38.94265847;17.26056305;57.44998431;30.47982138;1.426275103;28.16188137;24.76500157
un756;1995-01-01;1995-12-31;0.430282073;41;66.10645471;51.48960775;33.23361872;0.087708686;0;34.36328554;90.48512323;31.80173539;1.232746759;0;41.06156588;33.72686223;36.47243866;36.69486591;39.11209237;0.04473143;31.07879654;29.16599854
un764;1995-01-01;1995-12-31;2.13609188;87;35.64487483;29.19662665;0.530963371;0.021171062;11;12.81901287;90.56328487;19.0551717;1;0;0.264685642;1.951528258;1;0;25.67674611;5.400797242;11.17686134;15.7626473
un792;1995-01-01;1995-12-31;1.516360793;30;14.29457325;28.7261828;0.330825305;4.485240745;23;28.3058194;92.26981398;55.18697465;57;0;0.088228547;7.633229896;22.28190033;3.599558855;13.72489622;13.55747278;27.22613645;19.90867898
un804;1995-01-01;1995-12-31;3.043773702;21;7.868999022;5.738097152;0.019593194;0;0;144.1687919;48.40810797;15.29587643;0;0;4.482010199;11.73261133;27.70591343;0;6.176535646;0;23.71791664;13.2573252
un862;1995-01-01;1995-12-31;72.73133762;12;2.724465501;3.286420064;0.799355664;0.015122187;7;23.81151307;9.118857798;6.118350571;0.28966616;0;0.211748513;2.036504713;0;25;16.16024296;3.437712316;6.207375714;9.546319123
un704;1995-01-01;1995-12-31;5.146372613;10;2.119227721;4.222587599;0;54.43987418;5;0.908176133;17.59939555;6.628213119;0;0;0.017645709;0.615346748;0;0;3.621387762;30.21433583;2.205791922;7.225085367
un276;2000-01-01;2000-12-31;40.78889814;238.1525483;408.9381411;163.1004453;126.391502;21.85458505;22;233.1221006;247.2903965;307.9815073;28.571801;9.963542857;646.8387712;202.4608009;283.1340895;195.7393307;190.4643541;21.92583837;232.3112212;182.7477504
un024;2000-01-01;2000-12-31;38.04860064;3.760488398;0.009830386;0.525669871;0.000504347;4.536656182;1;1.076955536;0.664373925;19.22364008;0;0.000155429;0;0.038092894;0;0;7.460612885;2.803694653;1.50696581;3.976828313
un682;2000-01-01;2000-12-31;355.2399674;7.301050007;7.363065892;9.398905707;1.232633059;0;17;119.9721647;85.782398;30.9655838;24;0.048571429;0.335268479;4.157985882;11.44598467;14.39722393;68.84717673;8.33;27.64759956;40.21262295
un012;2000-01-01;2000-12-31;113.6337969;0.579808346;0.283556383;1.789732052;0.047897429;0.063513187;6;5.841878832;11.28132979;41.83774246;0;0.001357143;0.035291419;1.224833051;7.080130976;0;21.01026152;2.972391725;5.471090745;10.97618379
un032;2000-01-01;2000-12-31;24.41168803;72.20537074;7.596554448;9.706877291;4.931114808;1.84188241;14;35.97526198;37.89536762;47.77201155;1.267289449;0.065314286;2.170422262;13.14497862;4.927480506;0;18.81478456;7.799360029;12.64183174;14.21275833
un036;2000-01-01;2000-12-31;70.06206544;181.1185742;13.19083578;39.12708278;22.38720787;5.592184854;13;94.07076276;64.23583972;310.0581329;62.52393367;0.350642857;46.7081929;65.1007557;160.1075417;33.28344436;53.61465666;9.222014275;81.80124235;59.4776633
