id_master_country|date_in|date_out|energy|primary_goods|manufactures|services|investments|troops|military_equipment|migrations|tourism|sports|culture|information|technology|science|education|cooperation|economic_contribution|military_contribution|soft_contribution
un440|2013-01-01|2013-12-31|2.641|1.8468|1.0416|1.0656|0.101|0.0795|0|0.1233|0.943|2.052|0.0087384959696|1.2579|0|0.3426|0.2725|0.088|6.696|0.0795|5.0880384959696
un442|2013-01-01|2013-12-31|0.0695|0.9234|1.0416|12.2544|4.04|0|0|0.1644|0.492|0.4446|14.93240141054|9.0449|0.291|0.1142|0.1635|0.616|18.3289|0|26.26300141054
un458|2013-01-01|2013-12-31|16.8885|11.5425|9.3|6.5712|2.828|0.2385|0.4542|2.2605|13.366|0.855|0.9772|1.6173|0.0582|1.4275|5.341|0.044|47.1302|0.6927|25.9467
un470|2013-01-01|2013-12-31|0.6255|0.0513|0.1488|0.888|0|0|0|0|0.738|0.3762|3.2806|1.1381|0.0582|0.0571|0.0545|0.044|1.7136|0|5.7467
un410|2013-01-01|2013-12-31|20.989|7.9002|30.6528|19.3584|4.646|0.2385|3.1037|0.4932|5.248|9.1998|1.813617206194|5.9301|13.386|8.1653|5.1775|1.789659124|83.5464|3.3422|51.203176330194
un484|2013-01-01|2013-12-31|19.1125|12.9276|17.856|2.8416|3.232|0|0.3028|0.6987|12.505|3.6594|0.404373959011|4.5524|0.1164|1.8272|0.1635|0|55.9697|0.3028|23.926973959011
un566|2013-01-01|2013-12-31|44.063|1.1286|0.1488|0.5328|0.202|1.272|0.0757|1.0686|0.369|1.2996|0.2792|0.1198|0|0.3426|0.654|0|46.0752|1.3477|4.1328
un578|2013-01-01|2013-12-31|41.0745|5.5404|1.6368|7.6368|5.05|0.0795|0.5299|0.4521|2.665|2.223|1.5356|5.99|0.4074|1.8843|1.3625|7.04|60.9385|0.6094|23.5599
un554|2013-01-01|2013-12-31|0.6255|7.4385|0.5208|1.776|0.404|0.0795|0.1514|0.9042|1.312|4.4802|1.5356|0.7787|0.1746|1.4275|3.379|0.616|10.7648|0.2309|14.6078
un586|2013-01-01|2013-12-31|0.139|1.5903|1.1904|1.1544|0|1.9875|0.8327|4.0689|0.492|0.171|0.0076831052418|1.1381|0|0.9707|0.0545|0|4.0741|2.8202|6.9028831052418
un604|2013-01-01|2013-12-31|2.1545|9.6957|0.372|0.888|0.101|0.0795|1.1355|0.0411|1.517|1.2654|0|0.8386|0|0.1142|0|0|13.2112|1.215|3.7763
un616|2013-01-01|2013-12-31|3.2665|9.5931|9.0768|6.5712|1.313|1.6695|0.1514|0.7809|7.134|3.762|0.5584|8.5657|0.2328|3.7686|1.6895|0.66|29.8206|1.8209|27.1519
un620|2013-01-01|2013-12-31|1.7375|3.078|2.8272|4.2624|1.717|0.0795|0.3028|0.8631|4.018|2.4282|0.5584|6.8286|0.0582|1.9985|0.9265|0.924|13.6221|0.3823|18.6035
un826|2013-01-01|2013-12-31|24.047|18.5706|20.46|49.5504|42.622|7.3935|4.9205|6.2061|15.662|20.7936|10.3304|72.7186|3.6666|17.3013|34.662|21.164|155.25|12.314|202.5046
un203|2013-01-01|2013-12-31|2.224|3.8475|8.8536|3.8184|0.404|0.0795|0|0.4521|3.813|4.3092|1.092033217094|5.99|0.1746|1.713|3.161|0.308|19.1475|0.0795|21.012933217094
un642|2013-01-01|2013-12-31|1.1815|2.4624|2.976|1.6872|0|0.477|0.3785|0.1233|4.059|3.9672|0.2792|10.183|0|1.1991|1.308|0.22|8.3071|0.8555|21.3388
un643|2013-01-01|2013-12-31|134.83|13.338|4.9104|10.3008|9.696|7.314|14.7615|11.7957|15.047|25.4106|1.585803026686|19.1081|0.2328|4.6822|10.682|0.704|173.0752|22.0755|89.248203026686
un702|2013-01-01|2013-12-31|27.5915|5.0274|18.6744|19.6248|9.494|0|1.9682|1.8906|5.535|0.855|1.3262|10.8419|1.0476|1.8272|4.36|0|80.4121|1.9682|27.6835
un710|2013-01-01|2013-12-31|2.8495|10.4139|1.86|2.664|1.919|0.477|0.3028|1.8084|4.92|2.7702|0.349|1.7371|0.0582|1.6559|5.8315|0.22|19.7064|0.7798|19.3503
un752|2013-01-01|2013-12-31|5.9075|7.182|8.184|13.32|9.595|0.159|0.0757|1.2741|2.624|3.762|1.1866|17.97|2.5026|3.8257|2.9975|7.788|44.1885|0.2347|43.9305
un756|2013-01-01|2013-12-31|2.7105|6.3612|12.7968|16.1616|26.563|0.0795|0|1.6851|4.592|3.1806|0|9.4043|5.1798|4.3396|3.4335|4.576|64.5931|0.0795|36.3909
un764|2013-01-01|2013-12-31|5.4905|15.5952|10.6392|8.6136|1.212|0.2385|1.4383|1.1097|11.931|1.1628|0.4188|3.1148|0|1.0278|1.6895|0.044|41.5505|1.6768|20.4984
un792|2013-01-01|2013-12-31|2.7105|10.1061|7.1424|7.4592|0.707|0.5565|1.514|1.3563|18.163|2.7018|0|8.985|0.1746|4.1683|2.5615|3.74|28.1252|2.0705|41.8505
un804|2013-01-01|2013-12-31|1.3205|6.8742|2.6784|3.3744|0.202|0.159|0.2271|5.0553|12.3|7.4556|0.1870229560644|1.1381|0.1164|0.8565|3.597|0|14.4495|0.3861|30.7059229560644
eu900|2013-01-01|2013-12-31|60.5345|80.3871|115.1712|152.4696|161.297|13.038|24.7539|32.5101|49.2|89.9118|56.189|88.2926|59.1663884766|99.6395|62.348|102.74|569.8594|37.7919|639.9973884766
un862|2013-01-01|2013-12-31|28.773|0.9747|0.8928|0.3552|0.505|0|0.4542|0.9864|0.328|1.5732|0.035382721444|0.8386|0|0.1713|0.1635|3.476|31.5007|0.4542|7.572382721444
