code|date_in|date_out|global_quota|economic_quota|soft_quota
RO|2011-01-01|2011-12-01|0.791459007358825|0.576464795919323|1.01922221720733
RO|2012-01-01|2012-12-01|0.971921861260313|0.604338407999083|1.38051170669242
RO|2013-01-01|2013-12-01|0.944983544736692|0.602376599282043|1.31602131518622
SE|2005-01-01|2005-12-01|3.35360287468189|3.29471690803738|3.42731658053784
SE|2010-01-01|2010-12-01|3.09962425559145|3.30819046136983|2.88224804631634
SE|2011-01-01|2011-12-01|3.32182710367954|3.4663662944896|3.16870339943009
SE|2012-01-01|2012-12-01|3.32820994126232|3.43578823061056|3.20863057438204
SE|2013-01-01|2013-12-01|3.39614774678348|3.53540121380089|3.24533849841597
SI|2005-01-01|2005-12-01|0.737630063414561|0.301934495297705|1.28303564611976
SI|2010-01-01|2010-12-01|0.467339345864394|0.340217536714222|0.599830881998596
SI|2011-01-01|2011-12-01|0.461673989325131|0.361480435206635|0.567818267998324
SI|2012-01-01|2012-12-01|0.436351873215031|0.378189133380125|0.501003055601533
SI|2013-01-01|2013-12-01|0.499663413088136|0.422525007782689|0.583203056111379
SK|2005-01-01|2005-12-01|0.559790508192205|0.590973522681077|0.520755476779521
SK|2010-01-01|2010-12-01|0.702763522309741|0.744050119079554|0.659732946640982
SK|2011-01-01|2011-12-01|0.69985875614224|0.77684239076188|0.618302887221984
SK|2012-01-01|2012-12-01|0.724499625257075|0.87783372751268|0.55406007857932
SK|2013-01-01|2013-12-01|0.734615722481568|0.924851501270863|0.528593456563866
