id_master_country;date_in;date_out;population;pib
un084;1995-01-01;1995-12-31;220311;1250727554.1151
un090;1995-01-01;1995-12-31;356404;847953867.625065
un092;1995-01-01;1995-12-31;18440;521876498.042388
un096;1995-01-01;1995-12-31;289614;13839720819.3717
un100;1995-01-01;1995-12-31;8356624;56994746378.8856
un104;1995-01-01;1995-12-31;42133199;39344085391.8317
un108;1995-01-01;1995-12-31;6086751;3087192646.66151
un112;1995-01-01;1995-12-31;10274231;44749508081.0252
un116;1995-01-01;1995-12-31;11169233;7909954461.1803
un120;1995-01-01;1995-12-31;13940337;22499218936.2646
un124;1995-01-01;1995-12-31;29302092;819569928820.686
un132;1995-01-01;1995-12-31;394946;671514776.190607
un136;1995-01-01;1995-12-31;32792;1612349185.60421
un140;1995-01-01;1995-12-31;3327710;2582161212.48498
un144;1995-01-01;1995-12-31;18229498;44926794734.3278
un148;1995-01-01;1995-12-31;6998108;6969991557.10216
un152;1995-01-01;1995-12-31;14409416;130872321137.582
un156;1995-01-01;1995-12-31;1213986610;3060875016243.46
un170;1995-01-01;1995-12-31;36453337;219208871186.33
un174;1995-01-01;1995-12-31;494486;597945722.516864
un175;1995-01-01;1995-12-31;121949;
un178;1995-01-01;1995-12-31;2732706;9713105069.06472
un180;1995-01-01;1995-12-31;44067369;16182278471.5173
un184;1995-01-01;1995-12-31;18307;190412413.292868
un188;1995-01-01;1995-12-31;3468918;22601062894.9314
un191;1995-01-01;1995-12-31;4669001;40326069683.4049
un192;1995-01-01;1995-12-31;10900795;53149794843.0976
un196;1995-01-01;1995-12-31;855424;17262574621.8423
un203;1995-01-01;1995-12-31;10319337;159882370022.092
un204;1995-01-01;1995-12-31;5651141;6649508830.82652
un208;1995-01-01;1995-12-31;5233364;146458777902.223
un212;1995-01-01;1995-12-31;71364;525165511.0886
un214;1995-01-01;1995-12-31;7916309;25478560544.4629
un218;1995-01-01;1995-12-31;11384506;83517546581.6268
un222;1995-01-01;1995-12-31;5733401;28909594549.7177
un226;1995-01-01;1995-12-31;442527;592093182.729095
un231;1995-01-01;1995-12-31;57042197;26890470672.1376
un232;1995-01-01;1995-12-31;3212503;2590920585.3978
un233;1995-01-01;1995-12-31;1440710;11812549655.2615
un234;1995-01-01;1995-12-31;43483;
un238;1995-01-01;1995-12-31;2439;
un242;1995-01-01;1995-12-31;775651;2812053756.61106
un246;1995-01-01;1995-12-31;5107802;110584656018.985
un248;1995-01-01;1995-12-31;;
un250;1995-01-01;1995-12-31;57844501;1478323239066.54
un254;1995-01-01;1995-12-31;138916;1079193606.56406
un258;1995-01-01;1995-12-31;215798;4959627544.00122
un262;1995-01-01;1995-12-31;626537;1285691223.26099
un266;1995-01-01;1995-12-31;1087327;15337659064.4288
un268;1995-01-01;1995-12-31;5069269;8353250414.9491
un270;1995-01-01;1995-12-31;1126183;710792381.42655
un276;1995-01-01;1995-12-31;81929441;2224053157837.99
un288;1995-01-01;1995-12-31;16996901;16341090591.3827
un292;1995-01-01;1995-12-31;27283;
un296;1995-01-01;1995-12-31;77248;191497771.77508
un300;1995-01-01;1995-12-31;10671809;186680956676.805
un304;1995-01-01;1995-12-31;55617;1549641179.27736
un308;1995-01-01;1995-12-31;100163;628975501.454266
un312;1995-01-01;1995-12-31;404700;1905701461.81209
un316;1995-01-01;1995-12-31;145559;
un320;1995-01-01;1995-12-31;10015675;46294129339.0191
un324;1995-01-01;1995-12-31;7565235;6245086053.64393
un328;1995-01-01;1995-12-31;727979;1986765525.70426
un332;1995-01-01;1995-12-31;7877569;10238887539.5448
un336;1995-01-01;1995-12-31;781;
un340;1995-01-01;1995-12-31;5575099;17137258483.2782
un344;1995-01-01;1995-12-31;6144316;166007440524.919
un348;1995-01-01;1995-12-31;10331403;113649619152.704
un352;1995-01-01;1995-12-31;267478;6911762186.12313
un356;1995-01-01;1995-12-31;964486155;1305943118058.9
un360;1995-01-01;1995-12-31;199400339;568633167151.282
un364;1995-01-01;1995-12-31;59757114;447928628445.685
un368;1995-01-01;1995-12-31;20288226;60317758089.8323
un372;1995-01-01;1995-12-31;3610958;74320678030.6381
un376;1995-01-01;1995-12-31;5332079;107414903616.191
